ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
1200;ANS2-10-1-1;Blade;Almost Complete;Type 4;64;18;8;Dihedral;19;9;Absent;Pronounced;Concave;Overpass;In-axis;Curved;Trapezoidal;No;No;Distal-concave truncation;0;0;"Truncation on overshoot blade with super-massive bulb; exotic RM"
1202;An2-10-4-1;Blade;Almost Complete;Type 2;65;15;6;Plain;13;7;Absent;Diffuse;Acute pointed;Lateral product;Off-axis left;Straight;Trapezoidal;No;No;None;0;0;"Almost bladelet; exotic raw material"
S1;An2-10-4-1;Blade;Almost Complete;Type 3;47;14;3;Linear;11;1;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;Almost bladelet (central product)
S9;An2-10-2-1;Blade;Almost Complete;Type 3;67;21;9;Partially Faceted;12;4;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Twisted;Triangular;No;No;None;0;0;
1141;An2-10-3-1 (wirklich IUP?);Blade;Almost Complete;Type 3;49;20;6;Partially Faceted;13;4;Absent;Diffuse;Wide pointed;Lateral product;Off-axis left;Twisted;Triangular;No;No;None;0;0;
66;An2-10-4-2;Blade;Almost Complete;Type 1;47;21;6;Plain;14;3;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;Yes;None;0;0;
1263;An2-10-2-1;Blade;Almost Complete;Type 1;63;19;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;Yes;Proximal oblique truncation and right-lateral notch;0;0;Probably elongated triangular piece selected for hafting supported by notch-truncation config and with distal broken tip
1233;An2-10-4-2;Blade;Almost Complete;Type 2;62;15;4;Plain;4;12;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Twisted;Triangular;No;No;None;1;0;Early lateral almost-bladelet (small portion of left-lateral cortext), no Y-structure
224;An2-10-4-2-gezeichnet;Blade;Almost Complete;Type 2;93;41;20;Plain;31;13;Flaking;Pronounced;Acute pointed;Overpass;Off-axis left;Twisted;Trapezoidal;No;Yes;None;1;0;GEZEICHNET in Jordanien-Band (larger hinge/fissure removal with off-axis overshot blade with tiny dorsal cortex remnant
1510;An2-10-4-2;Bladelet;Almost Complete;Type 3;49;10;4;Plain;13;2;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Straight;Triangular;No;Yes;None;0;0;Long-narrow off-axis bladelet blank
