ID;Context/Box;Width in cm;Length (Vertical) in cm;Depth in cm;Cortex/Natural surface;Matrix;Number of platforms;Directionality;Progression of removals/coverage of removals;Dominant blank type produced;Striking surface;Type of core;Lateral convexity arrangement;Reduction surface geometry;Separation between narrow and broad reduction face (on final core stage);Configuration of narrow reduction face;Configuration of broad reduction face;Convexity of main laminar reduction face;Evidence for intercalated triangular/bladelet production;Hinged triangular point negatives;Number of laminar negatives;Number of flake negatives;Likely Reason for discard;Comments
2012;An2-10-1-1;60;50;36;Tiny portions at the left lateral edge;Nodular;1;Unidirectional;Facial;Broad blades and elongated triangular points;Some microflaking at the core-edge;Flat pyramidal-frontal;Convergent;Convergent;No;n/a;n/a;Transversal and distal convexities are weak;No;No;3;0;Unclear but probably because of low remaining productivity and perhaps also because of difficulties with expanding on the right edge toward a narrow-fronted configuration;
257;An2-10-1-1;41;55;51;Lateral edge bears fresh cortex;On-flake;1;Unidirectional;Facial narrow-fronted (all convexities still in place);Elongated pointed and triangular flakes;Larger flakes to prepared the striking surface;Narrow-fronted convergent;Narrow;Narrow-convergent;No;n/a;n/a;All convexities are functional, there is even an unexploited narrow-fronted edge/ridge created by the two adjacent convergent removals;No;No;2;0;Probably opportunistic exploitation of larger flake and then abbandoned because of volumetric limitations (not enough exploitable material);
2022;An2-10-1-1;42;64;23;Back fully covered with cortex;Pebble;1;Unidirectional;Facial-frontal;Overshot and pointed blades;Plain (previous platform flake removal?);Facial-frontal parallel;Parallel;Subparallel (super weakly convergent);No;n/a;n/a;"Longitudinal convexities mostly exhausted (""flat"" reduction surface)";No;No;4;0;Final overshoot blade did not achieve the desired restoration of longitudinal convexities;
2013;An2-10-1-1;51;62;61;Back and right lateral side;On-flake;1;Unidirectional;Facial-semicircumferential (weak frontal distal convexity);Elongated triangular points;Hinged core tablet negative and small frontal flake scars to prepare the striking surface;Pyramidal-frontal;Convergent;Strongly convergent;No;n/a;n/a;Transversal convexity is pronounced, distal is weak but increases towards the lateral extensions of the reduction surface;No;No;5;2;No clear, core is further exploitable;
255;An2-10-2-1;71;57;42;Back completely covered in fresh cortex (covering also parts of the left lateral);Nodular;1;Unidirectional;Facial-frontal;Flakes;A single medium-sized flake removal ;Broad-facio-frontal parallel;Parallel;Wide-parallel;No;n/a;n/a;Transversal convextiy functional, longitudinal convexity almost exhausted;No;No;0;2;Internal cracks in the raw material causing a large initial removal to hinge;Tested piece, probably no realy producted stage reached
253;An2-10-2-2;67;20;21;Small portions of cortex at the front;On-flake;1;Unidirectional;Carinated, broad side exploitation;Bladelets and small flakes;Plain;Broad-facio-fronal, subparallel-volumetric;Parallel;Broad subparallal;No;n/a;n/a;Functional;No;No;2;2;n/a;"Could also be a rejuvenated scraper-like functional edge; otherwise specialised small bladelets/flakes core from late in the reduction stream"
2032;An2-10-1-1;52;96;37;Back with partial natural surface;Nodular;1;Unidirectional;Facial-frontal (localised, focused on a natrual edge);Triangular products and elongated pointed bladelets;Plain;Narrow-convergent exploitation surface at the intersection of two angulated edges (the complete core is subparallel);Parallel;V-shaped;No;n/a;n/a;"Edge-exploitation, convexities are not installed; natural longitudinal convexity still functional";No;Yes;3;0;Opportunistic edge exploitation, possibly on flake or angular fragment, and then discarded after edge has been exploited;
252;An2-10-1-1;81;67;36;Back with fresh cortex and foot with natural surface;Nodular;2;Bidirectional (turned);Facial-frontal;Broad flakes and blades and some smaller intercalated products;A few small flake removals to prepare the striking surface;Facial-frontal parallel;Parallel;Broad subparallel (convex lateral configuration);No;n/a;n/a;Smaller removals have created a distal buldging and turning the core and working from the other side did not bring the desired results (another small series of hinged removals from the second independent striking surface);No;Yes;6;1;Exhausted convexities, hinging and quality of raw material;
2006;An2-10-1-1;40;62;47;;Pebble;1;Unidirectional;Acute-semicircumferential (almost narrow fronted);Broader blades on the broad face and pointed-triangular blades and flakes on the narrow front ;Microflaking towards the narrow end of the surface;Narrow fronted;Convergent;Weakly convergent;Yes;Strongly convergent;Weakly convergent;Convexities are in place but broad face transversal convexities on both sides are almost exhausted;No;Yes;5;3;Massive hinging at the narrow front and right broad face;
254;An2-10-2-2;47;72;27;Complete back covered in fresh cortex;Nodular;1;Unidirectional;Facial-frontal;Blades and pointed blades;Prepared by small flake removals;Facial-frontal, semi-circumferential convergent core (subpyramidal);Convergent;V-shaped;No;n/a;n/a;Convexities are functional but disal buldiging on the core foot;Yes;No;4;0;Exhaustion of distal convexities trough bulding and hinges in the center;
2028;An2-10-1-1;52;74;22;Back covered in fresh cortex;On-flake;1;Unidirectional;Facial-frontal (all convexities are still in place);Broad blades and triangular points;Plain with a few microflake removals;Facial-frontal convergent;Convergent;V-shaped;No?;n/a;n/a;Transversal convexity at the brink of getting exhausted, longitudinal convextity still functional;Yes;No;3;0;"Probably ""flattness"" of the core (volume exhausition); core on large cortical shaping flake; attempt of transition to a narrow edge at the right-lateral side of the core but only one short pointed bladelet could be obtained";
251;An2-10-1-1;69;65;40;Back fully covered by fresh cortex and natural surface;Nodular;1;Unidirectional;Facial-frontal;Broad flakes, blades and intercalated triangular points;Prepared by smaller and larger flakes;Facial-frontal convergent;Convergent;Broad weakly convergent;No;n/a;n/a;Convexities are functional;Yes;No;2;1;Reduced volume (but right-lateral edge could have been used to transition to a final narrow-edge exploitation cycle);
2004;An2-10-4-2;53;81;19;Left lateral covered in cortex (this part is also the left core back at the same time);Nodular;1;Unidirectional;Facial frontal (transversal and longitudinal convexities almost exhausted);Pointed blades and intercalated triangular products;Plain;Facio-frontal convergent;Convergent;V-shaped;No;n/a;n/a;Transversal and longitudinal convexities mostly exhausted (flat core surface with only two functional sides: reudction surface and back);Yes;No;5;1;"Probably ""flattness"" of the core (volume exhausition)";
2014;An2-1200-2011;48;79;24;;Nodular;1;Unidirectional;Facial-frontal semi-circumferential;Broad blades with intercalated triangular or leaf-shaped blades and bladelets;Prepared by a series of smaller and larger flakes;Facial-frontal convergent;Convergent;Elongated convergent;No;n/a;n/a;Transversal convexities functional, longitudinal convexities almost exhausted;Yes;Yes;6;0;Accumulated distal bulding exhausting longitudinal convexities;Early Ahmarian-like core
2001;An2-10-2-1;44;79;33;Core back covered with natural surface;Pebble;1;Unidirectional;Facial-frontal, semi-circumferential;Pointed blades and triangular points;A single larger hinged flake (platform flake) removal for striking surface preparation;Facial-fontal, pyramidal;Convergent;V-shaped;No;n/a;n/a;All convexities are functional;Yes;Yes;4;0;Central intercalation hinging and hinging at the core edge where a natural exploitation edge emerges;Another example for the importance of the lateral extremities of broader reduction surfaces for triangular, quasi-narrow edge exploitation
2000;An2-10-2-2;42;78;36;Cortex on both lateral sides;Nodular;1;Unidirectional;Facial-frontal ;Blades;Two flake scars to prepare the striking surface;Facial-frontal, parallel-volumetric core;Parallel;Weakly narrow, parallel;No;n/a;n/a;Longitudinal convexities need to be reactived from distal core part;Yes;Yes;2;0;Hinging at the center of the reduction surface, while attempting an intercalated triangular point;
2003;An2-10-4-1;39;78;16;Back covered with cortex and natural surface;Pebble;1;Unidirectional;Facial-frontal;Blades, triangular products and bladelets;Plain;Facial-frontal convergent (subpyramidal);Convergent;V-shaped;Yes;Narrow-subparallel;V-shaped;Longitudinal convexities mosly exhauseted, lateral convexities mostly functioning;Yes;Yes;5;0;Hinging of bladelet removal at the intersection of the two reduction planes;
256;An2-10-4-2;51;74;14;Back fully covered by cortex;Pebble;1;Unidirectional;Facial frontal (transversal and longitudinal convexities almost exhausted);Broad and pointed blades with intercalated triangular products;Plain;Facio-frontal subparallel;Parallel;Broad subparallel (super weakly convergent) with almost straight distal ending;Yes?;Two faces: one parallel-narrow, the other convergent-narrow but difficult to tell since almost completely exhausted;Wide-parallel;Transversal convexity largely exhausted, longitudinal convexity probably still functional;Yes;Yes;6;0;Hinged intercalated products at the intersection between narrow and broad part of exploitation surfaces;
250;An2-10-1-1;67;73;58;Small portion of cortex and mostly natural surface at the back and left lateral;Nodular;1;Unidirectional;Facial-semicircumferential (week transversal convexity);Convergent/pointed blades and triangular points;Prepared by various flake negatives including hinges;Pyramidal-frontal;Convergent;Wide-convergent;No;n/a;n/a;Weak, almost flat;Yes;Yes;7;1;Nothing obvious, but distal buldging/exhaustion of convexities would have caused hinging and required distal corrections;
258;An2-10-1-1;49;53;27;Back completely covered in abraded cortex;Pebble;1;Unidirectional; Facial-frontal semi-circumferential (all convexities are still in place);Short smaller blades, triangular products and bladelets;Flake removals of various sizes to prepare the striking platform;Broad-faced subpyramidal/subvolumetric ;Convergent;U-shaped (or weak V-shaped);No?;n/a;n/a;All convexities are sill in place;Yes;Yes;6;2;Unclear;"Burin-like triangular bladelet point removal from the left lateral intersection of broad reduction face and core back perhaps attempting to open up a second narrow reduction face; otherwise perhaps the best evidence of a late or independent production of small elongated products"
2002;An2-10-1-1;61;80;44;Only on the right lateral strip and on the core foot;Nodular;1;Unidirectional;Facial-semicircumferential (week distal convexity) but reaching the core back on the left side with an almost 90 degree angle of intersection;Larger overshot blade and leaf-shaped and triangular intercalated products;Minimal and very localised, small-scale flaking to prepare the striking surface;Quasi-parallel-frontal (volumetric);Parallel;Wide-parallel;Yes;Narrow and  weakly convergent;Wide-parallel;Transversal convexity is pronounced, distal is weak;Yes;Yes;8;2;Both broad and narrow face completely hinged more or less at the center plane;This core provides evidence for a progression of removal from the broad face to the narrow face, exploiting the edge created by the plane of intersection
2024;An2-10-1-1;61;72;37;Right-lateral side (fresh cortex);Nodular;2;Unidirectional;Facial-frontal;Broad blades and intercalated triangular blades and bladelets;First surface associated with a few short flake removals to prepare striking surface, second uses the former distal part of the reduction surface as a striking surface;Wide frontal-parallel;Parallel;Broad parallel;Yes;Weakly convergent;Broad parallel;Weak transversal and distal convextities;Yes;Yes;8;2;Hinged center at second flaking surface;Good example of tendency to turn the core at the end of a reduction cycle and to use the reduction surface as a platform form a final cycle of removals (2 subsequent, independent reduction surface)
2031;An2-10-1-1;63;55;24;Back has natural surface;n/a;1;Unidirectional;Facial-frontal (weak longitudinal convexities);Broad flakes and blades;Natural surface with a single adjacent flaking scar for preparation;Facial-frontal parallel;Parallel;Broad subparallel;No;n/a;n/a;Transversal and longitudinal convexities mostly exhausted;Yes;Yes;1;3;Exhausted convexities and accumulated hinges on main facial surface;
2007;An2-10-1-1;57;87;45;Back fully cortical (but reduced to a horizontal band in the center of the back);Nodular;3;Unidirectional + Bidirectional (preparation);Facial-frontal;Flakes and broad blades with some intercalated production of triangular blades and bladelets;"Acute angles through two opposite striking surfaces created through exploitation at the longitudinal core extremities; top striking ""surface"" is also an exploitation surface for smaller blades and bladeletes, while the lower/distal striking surface is a prepared striking surface mainly for faciliating the preparation of distal convexities (attempt to remove distal overhang and restore longitudinal/distal convexities)";Facial-frontal parallel;Parallel;Broad parallel;No;n/a;n/a;Convexities are functionala and pronounced but hinging at the top-center;Yes;Yes;9;4;Failure to restore longitudinal convexity by using the opposed platform (pseudo-bidirectional exploitation);
2016;An2-10-1-1;40;60;41;Small strip at the back and on the foot;Pebble;1;Unidirectional;Almost fully circumferential;Smaller blades, bladelets and leaf-shaped/triangular products;A single flake removal for angle correction;Fully volumetric (weakly convergent);Convergent;Wide and narrow convergent;Yes;Convergent;Wide weakly-convergent;Transversal convexity is pronounced, distal is weak;Yes;Yes;7;4;Multiple hinges on the narrow face and at the intersection with the adjacent two broad faces;The right broad face is older than the narrow exploitation, suggesting that the progression was from broad to narrow and back again
2023;An2-10-1-1;62;67;35;Back fully covered with primary, fresh cortex;Pebble;1;Unidirectional;Facial-semicircumferential (week transversal and distal convexity);Broad blades and intercalated broad and triangular points;Prepared by a few small flake removals which do not reach far into the surface;Convergent-frontal (almost like Levallois-preferential);Convergent;Wide-convergent;No, also no clearly defined core flanks, core has two surfaces: reduction and cortical back;n/a;n/a;Transversal convexity is pronounced, distal is weak;Yes (and hinged);Yes;3;1;Central hinge of target triangular product;
